dk_id,name,actual_fp
900001,Patrick Mahomes,28.4
900002,Josh Allen,31.2
900003,Travis Kelce,18.1
900004,Stefon Diggs,14.2
900005,Isiah Pacheco,11.0
900006,James Cook,22.5
900007,Rashee Rice,9.4
900008,Dalton Kincaid,12.8
900009,Marquise Brown,3.2
900010,Khalil Shakir,16.1
900011,Noah Gray,2.1
900012,Ty Johnson,1.5
900013,Chiefs,4.0
900014,Bills,9.0
900015,Harrison Butker,7.0
900016,Tyler Bass,11.0
900017,Justin Watson,0.0
900018,Mack Hollins,1.2
900019,Clyde Edwards-Helaire,3.5
900020,Damien Harris,2.0
900021,Skyy Moore,0.0
900022,Curtis Samuel,8.5
900023,JuJu Smith-Schuster,6.2
900024,Dawson Knox,4.4
