dk_id,name,actual_fp
910001,Patrick Mahomes,26.8
910002,Josh Allen,29.4
910003,Jalen Hurts,21.0
910004,Dak Prescott,14.2
910005,Isiah Pacheco,10.5
910006,James Cook,21.8
910007,Saquon Barkley,24.0
910008,Tony Pollard,8.2
910009,Clyde Edwards-Helaire,3.0
910010,Ty Johnson,1.5
910011,Stefon Diggs,12.4
910012,Rashee Rice,8.8
910013,A.J. Brown,19.5
910014,CeeDee Lamb,11.0
910015,Khalil Shakir,15.2
910016,Marquise Brown,2.8
910017,DeVonta Smith,14.0
910018,Brandin Cooks,5.5
910019,Travis Kelce,16.2
910020,Dalton Kincaid,11.5
910021,Dallas Goedert,7.0
910022,Jake Ferguson,4.2
910023,Chiefs,4.0
910024,Bills,9.0
910025,Eagles,11.0
910026,Cowboys,2.0
910027,Curtis Samuel,6.5
910028,Jahan Dotson,3.2
