dk_id,name,position,team,opp,salary,game_info,game_key
910001,Patrick Mahomes,QB,KC,BUF,7800,KC@BUF 01:00PM ET,BUF@KC
910002,Josh Allen,QB,BUF,KC,8000,KC@BUF 01:00PM ET,BUF@KC
910003,Jalen Hurts,QB,PHI,DAL,7600,PHI@DAL 04:25PM ET,DAL@PHI
910004,Dak Prescott,QB,DAL,PHI,7200,PHI@DAL 04:25PM ET,DAL@PHI
910005,Isiah Pacheco,RB,KC,BUF,6400,KC@BUF 01:00PM ET,BUF@KC
910006,James Cook,RB,BUF,KC,6600,KC@BUF 01:00PM ET,BUF@KC
910007,Saquon Barkley,RB,PHI,DAL,7800,PHI@DAL 04:25PM ET,DAL@PHI
910008,Tony Pollard,RB,DAL,PHI,5800,PHI@DAL 04:25PM ET,DAL@PHI
910009,Clyde Edwards-Helaire,RB,KC,BUF,4200,KC@BUF 01:00PM ET,BUF@KC
910010,Ty Johnson,RB,BUF,KC,3800,KC@BUF 01:00PM ET,BUF@KC
910011,Stefon Diggs,WR,BUF,KC,7400,KC@BUF 01:00PM ET,BUF@KC
910012,Rashee Rice,WR,KC,BUF,6200,KC@BUF 01:00PM ET,BUF@KC
910013,A.J. Brown,WR,PHI,DAL,7600,PHI@DAL 04:25PM ET,DAL@PHI
910014,CeeDee Lamb,WR,DAL,PHI,7800,PHI@DAL 04:25PM ET,DAL@PHI
910015,Khalil Shakir,WR,BUF,KC,5200,KC@BUF 01:00PM ET,BUF@KC
910016,Marquise Brown,WR,KC,BUF,4800,KC@BUF 01:00PM ET,BUF@KC
910017,DeVonta Smith,WR,PHI,DAL,6000,PHI@DAL 04:25PM ET,DAL@PHI
910018,Brandin Cooks,WR,DAL,PHI,4600,PHI@DAL 04:25PM ET,DAL@PHI
910019,Travis Kelce,TE,KC,BUF,6800,KC@BUF 01:00PM ET,BUF@KC
910020,Dalton Kincaid,TE,BUF,KC,4400,KC@BUF 01:00PM ET,BUF@KC
910021,Dallas Goedert,TE,PHI,DAL,4200,PHI@DAL 04:25PM ET,DAL@PHI
910022,Jake Ferguson,TE,DAL,PHI,4000,PHI@DAL 04:25PM ET,DAL@PHI
910023,Chiefs,DST,KC,BUF,2800,KC@BUF 01:00PM ET,BUF@KC
910024,Bills,DST,BUF,KC,3000,KC@BUF 01:00PM ET,BUF@KC
910025,Eagles,DST,PHI,DAL,3200,PHI@DAL 04:25PM ET,DAL@PHI
910026,Cowboys,DST,DAL,PHI,2600,PHI@DAL 04:25PM ET,DAL@PHI
910027,Curtis Samuel,WR,BUF,KC,3600,KC@BUF 01:00PM ET,BUF@KC
910028,Jahan Dotson,WR,PHI,DAL,3400,PHI@DAL 04:25PM ET,DAL@PHI
