Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Patrick Mahomes (910001),Patrick Mahomes,910001,QB,7800,KC@BUF 01:00PM ET,KC,22.50
QB,Josh Allen (910002),Josh Allen,910002,QB,8000,KC@BUF 01:00PM ET,BUF,24.00
QB,Jalen Hurts (910003),Jalen Hurts,910003,QB,7600,PHI@DAL 04:25PM ET,PHI,23.20
RB,Saquon Barkley (910007),Saquon Barkley,910007,RB/FLEX,7800,PHI@DAL 04:25PM ET,PHI,18.50
RB,James Cook (910006),James Cook,910006,RB/FLEX,6600,KC@BUF 01:00PM ET,BUF,15.20
RB,Isiah Pacheco (910005),Isiah Pacheco,910005,RB/FLEX,6400,KC@BUF 01:00PM ET,KC,14.50
WR,CeeDee Lamb (910014),CeeDee Lamb,910014,WR/FLEX,7800,PHI@DAL 04:25PM ET,DAL,18.00
WR,A.J. Brown (910013),A.J. Brown,910013,WR/FLEX,7600,PHI@DAL 04:25PM ET,PHI,17.20
WR,Stefon Diggs (910011),Stefon Diggs,910011,WR/FLEX,7400,KC@BUF 01:00PM ET,BUF,16.80
TE,Travis Kelce (910019),Travis Kelce,910019,TE/FLEX,6800,KC@BUF 01:00PM ET,KC,15.00
TE,Dallas Goedert (910021),Dallas Goedert,910021,TE/FLEX,4200,PHI@DAL 04:25PM ET,PHI,9.80
DST,Eagles (910025),Eagles,910025,DST,3200,PHI@DAL 04:25PM ET,PHI,7.50
DST,Bills (910024),Bills,910024,DST,3000,KC@BUF 01:00PM ET,BUF,7.00
