Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Patrick Mahomes (900001),Patrick Mahomes,900001,CPT/FLEX,10600,KC@BUF 01:00PM ET,KC,22.50
QB,Josh Allen (900002),Josh Allen,900002,CPT/FLEX,11200,KC@BUF 01:00PM ET,BUF,24.00
TE,Travis Kelce (900003),Travis Kelce,900003,CPT/FLEX,8200,KC@BUF 01:00PM ET,KC,15.50
WR,Stefon Diggs (900004),Stefon Diggs,900004,CPT/FLEX,9000,KC@BUF 01:00PM ET,BUF,16.80
RB,Isiah Pacheco (900005),Isiah Pacheco,900005,CPT/FLEX,6800,KC@BUF 01:00PM ET,KC,13.20
RB,James Cook (900006),James Cook,900006,CPT/FLEX,7200,KC@BUF 01:00PM ET,BUF,14.00
WR,Rashee Rice (900007),Rashee Rice,900007,CPT/FLEX,6400,KC@BUF 01:00PM ET,KC,12.50
TE,Dalton Kincaid (900008),Dalton Kincaid,900008,CPT/FLEX,4600,KC@BUF 01:00PM ET,BUF,9.50
DST,Chiefs (900013),Chiefs,900013,CPT/FLEX,3200,KC@BUF 01:00PM ET,KC,6.50
DST,Bills (900014),Bills,900014,CPT/FLEX,3600,KC@BUF 01:00PM ET,BUF,7.00
