slate,dk_id,name,position,team,opp,salary,game_info,proj_fp,floor,ceiling,std,own_est,cpt_salary,cpt_proj,flex_value,cpt_value,sources,notes
demo,900001,Patrick Mahomes,QB,KC,BUF,10600,KC@BUF,22.5,16.5,28.5,7.0,22,15900,33.75,2.123,2.123,demo,ESTIMATE: fixture
demo,900002,Josh Allen,QB,BUF,KC,11200,KC@BUF,24.0,17.5,30.5,7.5,25,16800,36.0,2.143,2.143,demo,ESTIMATE: fixture
demo,900003,Travis Kelce,TE,KC,BUF,8200,KC@BUF,15.5,10.5,21.0,5.5,18,12300,23.25,1.890,1.890,demo,ESTIMATE: fixture
demo,900004,Stefon Diggs,WR,BUF,KC,9000,KC@BUF,16.8,11.5,22.5,6.0,20,13500,25.2,1.867,1.867,demo,ESTIMATE: fixture
demo,900005,Isiah Pacheco,RB,KC,BUF,6800,KC@BUF,13.2,8.5,18.0,5.0,14,10200,19.8,1.941,1.941,demo,ESTIMATE: fixture
demo,900006,James Cook,RB,BUF,KC,7200,KC@BUF,14.0,9.0,19.0,5.2,15,10800,21.0,1.944,1.944,demo,ESTIMATE: fixture
demo,900007,Rashee Rice,WR,KC,BUF,6400,KC@BUF,12.5,8.0,17.5,5.0,12,9600,18.75,1.953,1.953,demo,ESTIMATE: fixture
demo,900008,Dalton Kincaid,TE,BUF,KC,4600,KC@BUF,9.5,6.0,13.5,4.0,8,6900,14.25,2.065,2.065,demo,ESTIMATE: fixture
demo,900009,Marquise Brown,WR,KC,BUF,4200,KC@BUF,8.8,5.0,13.0,4.2,7,6300,13.2,2.095,2.095,demo,ESTIMATE: fixture
demo,900010,Khalil Shakir,WR,BUF,KC,4800,KC@BUF,10.2,6.5,14.5,4.5,9,7200,15.3,2.125,2.125,demo,ESTIMATE: fixture
demo,900011,Noah Gray,TE,KC,BUF,2800,KC@BUF,5.5,3.0,8.5,3.0,3,4200,8.25,1.964,1.964,demo,ESTIMATE: fixture
demo,900012,Ty Johnson,RB,BUF,KC,2400,KC@BUF,4.8,2.5,7.5,2.8,2,3600,7.2,2.000,2.000,demo,ESTIMATE: fixture
demo,900013,Chiefs,DST,KC,BUF,3200,KC@BUF,6.5,3.0,11.0,4.0,5,4800,9.75,2.031,2.031,demo,ESTIMATE: fixture
demo,900014,Bills,DST,BUF,KC,3600,KC@BUF,7.0,3.5,11.5,4.2,6,5400,10.5,1.944,1.944,demo,ESTIMATE: fixture
demo,900015,Harrison Butker,K,KC,BUF,4000,KC@BUF,8.0,5.0,11.5,3.5,6,6000,12.0,2.000,2.000,demo,ESTIMATE: fixture
demo,900016,Tyler Bass,K,BUF,KC,3800,KC@BUF,7.5,4.5,11.0,3.5,5,5700,11.25,1.974,1.974,demo,ESTIMATE: fixture
demo,900017,Justin Watson,WR,KC,BUF,2200,KC@BUF,3.5,1.5,6.0,2.5,2,3300,5.25,1.591,1.591,demo,ESTIMATE: fixture
demo,900018,Mack Hollins,WR,BUF,KC,2000,KC@BUF,3.2,1.2,5.5,2.4,1,3000,4.8,1.600,1.600,demo,ESTIMATE: fixture
demo,900019,Clyde Edwards-Helaire,RB,KC,BUF,3000,KC@BUF,5.8,3.0,9.0,3.2,3,4500,8.7,1.933,1.933,demo,ESTIMATE: fixture
demo,900020,Damien Harris,RB,BUF,KC,2600,KC@BUF,5.0,2.5,8.0,3.0,2,3900,7.5,1.923,1.923,demo,ESTIMATE: fixture
demo,900021,Skyy Moore,WR,KC,BUF,1800,KC@BUF,2.8,1.0,5.0,2.2,1,2700,4.2,1.556,1.556,demo,ESTIMATE: fixture
demo,900022,Curtis Samuel,WR,BUF,KC,3400,KC@BUF,7.2,4.0,11.0,3.8,4,5100,10.8,2.118,2.118,demo,ESTIMATE: fixture
demo,900023,JuJu Smith-Schuster,WR,KC,BUF,3600,KC@BUF,7.8,4.5,11.5,3.8,5,5400,11.7,2.167,2.167,demo,ESTIMATE: fixture
demo,900024,Dawson Knox,TE,BUF,KC,3000,KC@BUF,5.2,2.8,8.0,3.0,3,4500,7.8,1.733,1.733,demo,ESTIMATE: fixture
