dk_id,name,position,team,opp,salary,roster_positions
900001,Patrick Mahomes,QB,KC,BUF,10600,CPT/FLEX
900002,Josh Allen,QB,BUF,KC,11200,CPT/FLEX
900003,Travis Kelce,TE,KC,BUF,8200,CPT/FLEX
900004,Stefon Diggs,WR,BUF,KC,9000,CPT/FLEX
900005,Isiah Pacheco,RB,KC,BUF,6800,CPT/FLEX
900006,James Cook,RB,BUF,KC,7200,CPT/FLEX
900007,Rashee Rice,WR,KC,BUF,6400,CPT/FLEX
900008,Dalton Kincaid,TE,BUF,KC,4600,CPT/FLEX
900009,Marquise Brown,WR,KC,BUF,4200,CPT/FLEX
900010,Khalil Shakir,WR,BUF,KC,4800,CPT/FLEX
900011,Noah Gray,TE,KC,BUF,2800,CPT/FLEX
900012,Ty Johnson,RB,BUF,KC,2400,CPT/FLEX
900013,Chiefs,DST,KC,BUF,3200,CPT/FLEX
900014,Bills,DST,BUF,KC,3600,CPT/FLEX
900015,Harrison Butker,K,KC,BUF,4000,CPT/FLEX
900016,Tyler Bass,K,BUF,KC,3800,CPT/FLEX
900017,Justin Watson,WR,KC,BUF,2200,CPT/FLEX
900018,Mack Hollins,WR,BUF,KC,2000,CPT/FLEX
900019,Clyde Edwards-Helaire,RB,KC,BUF,3000,CPT/FLEX
900020,Damien Harris,RB,BUF,KC,2600,CPT/FLEX
900021,Skyy Moore,WR,KC,BUF,1800,CPT/FLEX
900022,Curtis Samuel,WR,BUF,KC,3400,CPT/FLEX
900023,JuJu Smith-Schuster,WR,KC,BUF,3600,CPT/FLEX
900024,Dawson Knox,TE,BUF,KC,3000,CPT/FLEX
